"","precisión","kappa","sensibilidad","especificidad","tiempo"
"k-NN",0.947089947089947,0.885883347421809,0.914285714285714,0.966386554621849,0.108049869537354
"Naive Bayes",0.925925925925926,0.84393063583815,0.942857142857143,0.915966386554622,0.136157464981079
"Neural network",0.957671957671958,0.910299003322259,0.971428571428571,0.949579831932773,9.12279019753138
"SVM lineal",0.957671957671958,0.910299003322259,0.971428571428571,0.949579831932773,0.182107019424438
"SVM RBF",0.984126984126984,0.966066191872643,0.985714285714286,0.983193277310924,0.321134352684021
"Decisión Trees",0.968253968253968,0.932330827067669,0.971428571428571,0.966386554621849,1.43791720072428
"Random Forest",0.989417989417989,0.977310924369748,0.985714285714286,0.991596638655462,1.638036998113
