"","precisión","kappa","sensibilidad","especificidad","tiempo"
"k-NN",0.968253968253968,0.931932773109244,0.957142857142857,0.974789915966387,0.169120001792908
"Naive Bayes",0.925925925925926,0.84393063583815,0.942857142857143,0.915966386554622,0.125956813494364
"Neural network",0.957671957671958,0.910299003322259,0.971428571428571,0.949579831932773,8.14188175201416
"SVM lineal",0.957671957671958,0.910299003322259,0.971428571428571,0.949579831932773,0.125573615233103
"SVM RBF",0.984126984126984,0.966066191872643,0.985714285714286,0.983193277310924,0.229746699333191
"Decisión Trees",0.968253968253968,0.932330827067669,0.971428571428571,0.966386554621849,1.05675581693649
"Random Forest",0.989417989417989,0.977310924369748,0.985714285714286,0.991596638655462,1.29125481446584
