"","precisión","kappa","sensibilidad","especificidad","tiempo"
"k-NN",0.962962962962963,0.919881305637982,0.928571428571429,0.983193277310924,0.198881749312083
"Naive Bayes",0.915343915343915,0.820598006644518,0.914285714285714,0.915966386554622,0.121420685450236
"Neural network",0.62962962962963,0,0,1,4.96514731645584
"SVM lineal",0.957671957671958,0.910299003322259,0.971428571428571,0.949579831932773,0.124647649129232
"SVM RBF",0.984126984126984,0.966066191872643,0.985714285714286,0.983193277310924,0.222988100846608
"Decisión Trees",0.978835978835979,0.954887218045113,0.985714285714286,0.974789915966387,1.0242241303126
"Random Forest",0.989417989417989,0.977310924369748,0.985714285714286,0.991596638655462,1.36725121736526
