"","precisión","kappa","sensibilidad","especificidad","tiempo"
"k-NN",0.968253968253968,0.931932773109244,0.957142857142857,0.974789915966387,0.114783716201782
"Naive Bayes",0.925925925925926,0.84393063583815,0.942857142857143,0.915966386554622,0.13608280022939
"Neural network",0.947089947089947,0.888521882741536,0.971428571428571,0.932773109243697,8.46725329955419
"SVM lineal",0.957671957671958,0.910299003322259,0.971428571428571,0.949579831932773,0.123790466785431
"SVM RBF",0.984126984126984,0.966066191872643,0.985714285714286,0.983193277310924,0.221080581347148
"Decisión Trees",0.968253968253968,0.932330827067669,0.971428571428571,0.966386554621849,1.04057618379593
"Random Forest",0.989417989417989,0.977310924369748,0.985714285714286,0.991596638655462,1.19423158168793
